Product,Model,OS,Storage,RAM,Color,Price (EGP),Purchases,Delivery Date
SAMSUNG,Galaxy A15,Android,256GB Storage,8GB RAM,Blue,8899.0,500+ bought,22 December
SAMSUNG,Galaxy A05s,Android,64GB Storage,4GB RAM,Black,5097.0,200+ bought,23 December
SAMSUNG,Galaxy A05s,Android,128GB Storage,6GB RAM,Black,,50+ bought,
SAMSUNG,Galaxy A15,Android,128GB Storage,4GB RAM,Blue,6700.0,300+ bought,23 December
SAMSUNG,Galaxy A55,Android,256GB Storage,8GB RAM,Navy,18950.0,300+ bought,23 December
SAMSUNG,Galaxy A15,Android,128GB Storage,6GB RAM,Black,7249.0,200+ bought,22 December
SAMSUNG,,,,,Inox,14999.0,400+ bought,21 Dec
SAMSUNG,Galaxy A15,Android,128GB Storage,6GB RAM,Blue,7790.0,300+ bought,22 December
SAMSUNG,,,,,Multi Color,3799.0,500+ bought,21 Dec
SAMSUNG,Galaxy A05,Android,64GB Storage,4GB RAM,Silver,5299.0,200+ bought,22 December
SAMSUNG,Galaxy A15,Android,256GB Storage,8GB RAM,Blue,8990.0,200+ bought,22 December
SAMSUNG,Galaxy A55,Android,256GB Storage,8GB RAM,Lemon,18950.0,,23 December
SAMSUNG,Galaxy A35,Android,128GB Storage,8GB RAM,Iceblue,15400.0,100+ bought,23 December
SAMSUNG,Galaxy S24,Android,256GB Storage,12GB RAM,Gray,47300.0,100+ bought,23 December
SAMSUNG,Galaxy Tab,Android,128GB Storage,8GB RAM,Navy,8800.0,,23 December
SAMSUNG,Galaxy A05s,Android,64GB Storage,4GB RAM,Silver,5299.0,100+ bought,22 December
SAMSUNG,Galaxy A35,Android,256GB Storage,8GB RAM,Iceblue,15850.0,,23 December
SAMSUNG,Galaxy S23,Android,,8GB RAM,Purple,26555.0,,23 December
SAMSUNG,Galaxy A55,Android,128GB Storage,8GB RAM,Lilac,17999.0,50+ bought,22 December
SAMSUNG,Galaxy A05,Android,128GB Storage,4GB RAM,Black,5999.0,100+ bought,23 December
SAMSUNG,Galaxy Buds3,,,,Silver,9199.0,100+ bought,23 December
SAMSUNG,,,,,Titan,13999.0,400+ bought,21 Dec
SAMSUNG,Galaxy A24,Android,128GB Storage,8GB RAM,Black,9649.0,,23 December
SAMSUNG,Galaxy A16,Android,256GB Storage,8GB RAM,Black,9810.0,,23 December
SAMSUNG,Galaxy A35,Android,256GB Storage,8GB RAM,Navy,16498.0,50+ bought,23 December
SAMSUNG,,,,,Black,16449.0,300+ bought,22 Dec
SAMSUNG,Galaxy S24,Android,256GB Storage,12GB RAM,Black,47300.0,50+ bought,23 December
SAMSUNG,,,,,Titan,16499.0,300+ bought,21 Dec
SAMSUNG,,,,,Clean White,20809.0,50+ bought,21 Dec
SAMSUNG,Galaxy Tab,Android,128GB Storage,8GB RAM,Graphite,8800.0,50+ bought,23 December
SAMSUNG,Galaxy A06,Android,128GB Storage,6GB RAM,Black,7119.0,,
SAMSUNG,,,,,,13699.0,,23 December
SAMSUNG,Galaxy A05,Android,128GB Storage,4GB RAM,Green,5699.0,,22 December
SAMSUNG,Galaxy Tab,Android,128GB Storage,8GB RAM,Silver,8800.0,,23 December
SAMSUNG,,,,,,5699.0,,6 January
SAMSUNG,,,,8GB RAM,,13699.0,,23 December
SAMSUNG,Galaxy A05,Android,128GB Storage,4GB RAM,Silver,5999.0,100+ bought,22 December
SAMSUNG,Galaxy S24,Android,256GB Storage,12GB RAM,Gray,43750.0,,23 December
SAMSUNG,Galaxy A16,Android,128GB Storage,4GB RAM,Gray,7370.0,,23 December
SAMSUNG,Galaxy A16,Android,128GB Storage,4GB RAM,Black,7370.0,,23 December
SAMSUNG,,,,,Silver,150.0,,21 Dec
SAMSUNG,,,,,Black,8299.0,300+ bought,21 Dec
SAMSUNG,Galaxy A06,Android,128GB Storage,6GB RAM,Gold,7119.0,,
SAMSUNG,Galaxy A16,Android,256GB Storage,8GB RAM,Gray,9750.0,,23 December
SAMSUNG,,,,,,13499.0,,21 Dec
SAMSUNG,Galaxy Buds3,,,,Silver,6275.0,50+ bought,23 December
SAMSUNG,Galaxy A06,Android,128GB Storage,6GB RAM,Blue,6644.0,,23 December
SAMSUNG,,,,,Black,20790.0,,21 Dec
